,taxagroup,siteid,sitename,decimallatitude,decimallongitude,age,value
574,phytoplankton,E-UR10,Donostia (Puente de Santa Catalina),43.3171,-1.9782,17,588
74,invertebrates,E-OI10,Lezo,43.3227859,-1.9038327,25,582
571,phytoplankton,E-U10,Zumaia (Puente Narrondo),43.2963,-2.2563,17,574
45,fish,PV_GAL_ABRAINT,Nerbioi exterior (Arrastre zona exterior masa de agua),43.341806,-3.025751,34,570
554,phytoplankton,E-L10,Lekeitio (Molino),43.3602,-2.4989,17,556
745,water,E-OK10HB,Murueta (Astillero). High Tide. Bottom,43.3647,-2.6841,29,539
657,water,E-B10HB,Plentzia (Puerto). High Tide. Bottom,43.4076,-2.9463,28,538
673,water,E-BI20HB,Hondarribia (Txingudi). High Tide. Bottom,43.3697,-1.7901,29,534
649,water,E-A10HB,Ondarroa (Embarcadero). High Tide. Bottom,43.3199,-2.421,28,530
681,water,E-D10HB,Deba (Puente). High Tide. Bottom,43.2925,-2.3572,29,528
797,water,L-O20B,Litoral de Getaria. Bottom,43.3156,-2.1801,21,527
801,water,L-OI20B,Litoral de Pasaia (Asabaratza). Bottom,43.3601,-1.8918,21,527
805,water,L-RF10B,Litoral Oiartzun - Plataforma. Bottom,43.4534,-1.918,21,527
737,water,E-OI15HB,Pasaia de San Pedro (Dársena de Herrera). High Tide. Bottom,43.3224,-1.9311,21,526
789,water,L-L20B,Litoral de Lekeitio. Bottom,43.3729,-2.4896,21,526
757,water,E-U10HB,Zumaia (Puente Narrondo). High Tide. Bottom,43.2963,-2.2563,29,525
669,water,E-BI10HB,Irun (Amute). High Tide. Bottom,43.3522,-1.7913,29,524
769,water,E-UR10HB,Donostia (Puente de Santa Catalina). High Tide. Bottom,43.3171,-1.9782,29,522
689,water,E-L10HB,Lekeitio (Molino). High Tide. Bottom,43.3602,-2.4989,29,519
697,water,E-M10HB,Pobeña (puente). High Tide. Bottom,43.3469,-3.1216,29,519
713,water,E-N17HB,Leioa (Lamiako). High Tide. Bottom,43.3156,-2.9977,21,516
711,water,E-N15LB,Barakaldo (Puente de Rontegi). Low Tide. Bottom,43.2951,-2.974,21,516
709,water,E-N15HB,Barakaldo (Puente de Rontegi). High Tide. Bottom,43.2951,-2.974,21,516
725,water,E-O10HB,Orio (Puente de La Autopista). High Tide. Bottom,43.2826,-2.1316,29,515
